Credit Number,Region,Country,Credit Status,Service Charge Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IDA,First Repayment Date,Last Repayment Date,Agreement Signing Date
IDA00240,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009626,KOYNA POWER II,21100470.23,0,0,21100470.23,21100470.23,01/15/1973,15/07/2012,08/08/1962
IDA00250,EAST ASIA AND PACIFIC,"Korea, Republic of",Fully Repaid,0.75,USD,P004038,RAILROADS I,16879769.69,7076.13,0,16872693.56,16872693.56,02/01/1973,01/08/2012,17/08/1962
IDA00260,LATIN AMERICA AND CARIBBEAN,Nicaragua,Fully Repaid,0.75,USD,P007746,MANAGUA WATER SUPPLY,3616300.34,5166.14,0,3611134.2,3611134.2,09/01/1972,01/03/2012,07/09/1962
IDA00270,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009628,BOMBAY PORT,21085492.49,3003089.32,0,18082403.17,18082403.17,01/15/1973,15/07/2012,14/09/1962
IDA00280,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009624,TELECOMMUNICATIONS I,50622786.57,211661.56,0,50411125.01,50411125.01,03/01/1973,01/09/2012,14/09/1962
IDA00290,MIDDLE EAST AND NORTH AFRICA,Tunisia,Fully Repaid,0.75,USD,P005592,EDUCATION I,6000486.61,137401.96,0,5863084.65,5863084.65,11/15/1972,15/05/2012,17/09/1962
IDA00300,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010024,INDUSTRIAL ESTATES,7827129.41,68374.96,0,7758754.45,7758754.45,04/15/1973,15/10/2012,02/11/1962
IDA00310,LATIN AMERICA AND CARIBBEAN,El Salvador,Fully Repaid,0.75,USD,P007143,HIGHWAYS III,9645871.9,669.26,0,9645202.64,9645202.64,11/01/1972,01/05/2012,02/11/1962
IDA00320,LATIN AMERICA AND CARIBBEAN,Haiti,Fully Repaid,0.75,USD,P007271,INTERIM HIGHWAY PROJ,421997.01,144.74,0,421852.27,421852.27,08/15/1972,15/02/2012,02/11/1962
IDA00330,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008879,TSKB III (DFC),6001992.85,144073.99,0,5857918.86,5857918.86,05/15/1973,15/11/2012,23/11/1962
IDA00340,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008880,CUKUROVA POWER I,2050384.56,1942.43,0,2048442.13,2048442.13,05/15/1973,15/11/2012,01/02/1963
IDA00350,AFRICA EAST,Ethiopia,Fully Repaid,0.75,USD,P000663,HIGHWAYS III,16179959.94,0,0,16179959.94,16179959.94,11/01/1973,01/05/2013,27/02/1963
IDA00360,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009629,RAILWAYS,81428241.92,0,0,81428241.92,81428241.92,05/01/1973,01/11/2012,22/03/1963
IDA00370,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009627,KOTHAGUDEM POWER,24126886.54,0,0,24126886.54,24126886.54,12/01/1973,01/06/2013,24/05/1963
IDA00380,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008878,SEYHAN IRRIGATION,24112340.34,70494.91,0,24041845.43,24041845.43,06/01/1973,01/12/2012,31/05/1963
IDA00390,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P009337,BRAHMAPUTRA FLOOD/IR,5010317.22,4950000,0,60317.22,60317.22,07/01/1973,01/01/2013,26/06/1963
IDA00400,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P009339,CHANDPUR IRRIGATION,9005406.31,8973799.56,0,31606.75,31606.75,01/01/1974,01/07/2013,26/07/1963
IDA00410,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009345,DACCA WATER SUPPLY,26000000,26000000,0,0,0,10/01/1973,01/04/2013,16/08/1963
IDA00420,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009344,CHITTAGONG WATER SUP,24000000,24000000,0,0,0,10/01/1973,01/04/2013,16/08/1963
IDA00430,MIDDLE EAST AND NORTH AFRICA,Jordan,Fully Repaid,0.75,USD,P005241,WATER SUPPLY PROJECTS,4019059.72,984497.34,0,3034562.38,3034562.38,05/15/1974,15/11/2013,12/12/1963
IDA00440,MIDDLE EAST AND NORTH AFRICA,Jordan,Fully Repaid,0.75,USD,P005240,AGRICULTURAL CREDIT I,3619032.99,0,0,3619032.99,3619032.99,02/01/1974,01/08/2013,12/12/1963
IDA00450,AFRICA EAST,Tanzania,Fully Repaid,0.75,USD,P002673,EDUCATION I,5549183.94,0,0,5549183.94,5549183.94,11/15/1973,15/05/2013,19/12/1963
IDA00460,MIDDLE EAST AND NORTH AFRICA,Syrian Arab Republic,Repaying,0.75,USD,P005543,HIGHWAY IMPROVEMENT,9936649.74,0,0,9936649.74,9340451,12/01/1973,01/06/2013,24/12/1963
IDA00470,LATIN AMERICA AND CARIBBEAN,Paraguay,Fully Repaid,0.75,USD,P007850,LIVESTOCK I,4342839.57,0,0,4342839.57,4342839.57,10/01/1973,01/04/2013,26/12/1963
IDA00480,AFRICA EAST,Tanzania,Fully Repaid,0.75,USD,P002674,HIGHWAYS,16888820.58,0,0,16888820.58,16888820.58,02/01/1974,01/08/2013,05/02/1964
IDA00490,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009341,EDUCATION,4500000,4500000,0,0,0,03/15/1974,15/09/2013,25/03/1964
IDA00500,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010029,WEST PAK EDUCATION I,9601524.66,284874.52,0,9316650.14,9316650.14,03/15/1974,15/09/2013,25/03/1964
IDA00510,LATIN AMERICA AND CARIBBEAN,Ecuador,Fully Repaid,0.75,USD,P007037,HIGHWAYS,9436547.39,362170.54,0,9074376.85,9074376.85,08/01/1974,01/02/2014,26/05/1964
IDA00520,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009630,INDUS. IMPORTS I,108570989.3,0,0,108570989.3,108570989.3,11/15/1974,15/05/2014,09/06/1964
IDA00530,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009342,HIGHWAYS,22500000,22500000,0,0,0,10/15/1974,15/04/2014,11/06/1964
IDA00540,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010032,WEST PAK HIGHWAYS,20291130.76,773601.15,0,19517529.61,19517529.61,10/15/1974,15/04/2014,11/06/1964
IDA00550,AFRICA WEST,Niger,Fully Repaid,0.75,USD,P001934,ROADS,1809356.36,776.14,0,1808580.22,1808580.22,01/15/1975,15/07/2014,24/06/1964
IDA00560,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P009343,EASTERN RAILWAY,10002155.18,9989555.18,0,12600,12600,09/15/1974,15/03/2014,24/06/1964
IDA00570,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010033,WESTERN RAILWAY,30020563.59,669001.14,0,29351562.45,29351562.45,09/15/1974,15/03/2014,24/06/1964
IDA00580,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009631,TELECOMMUNICATIONS I,39809362.78,0,0,39809362.78,39809362.78,01/15/1975,15/07/2014,06/07/1964
IDA00590,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008883,POWER II CUKUROVA,28952263.92,0,0,28952263.92,28952263.92,08/01/1974,01/02/2014,14/07/1964
IDA00600,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010035,INDUS BASIN PROJECT,70619396.71,0,0,70619396.71,70619396.71,03/01/1975,01/09/2014,21/07/1964
IDA00610,LATIN AMERICA AND CARIBBEAN,Bolivia,Fully Repaid,0.75,USD,P006110,ENDE POWER I,12063443.31,0,0,12063443.31,12063443.31,11/01/1974,01/05/2014,24/07/1964
IDA00620,LATIN AMERICA AND CARIBBEAN,Bolivia,Fully Repaid,0.75,USD,P006111,BPC I,6031721.69,0,0,6031721.69,6031721.69,11/01/1974,01/05/2014,24/07/1964
IDA00630,AFRICA EAST,Botswana,Fully Repaid,0.75,USD,P000125,ROADS,4342839.58,0,0,4342839.58,4342839.58,01/15/1975,15/07/2014,03/08/1964
IDA00640,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001220,KTDA TEA DEVELOPMENT,3255538,592340.65,0,2663197.35,2663197.35,06/01/1974,01/12/2013,17/08/1964
IDA00650,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009346,INLAND WATER TRANSPO,5250000,5250000,0,0,0,07/15/1974,15/01/2014,26/08/1964
IDA00660,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008881,TSKB IV (DFC),6020471.83,54519.95,0,5965951.88,5965951.88,11/15/1974,15/05/2014,31/08/1964
IDA00670,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009635,RAILWAYS,74793348.23,0,0,74793348.23,74793348.23,09/15/1974,15/03/2014,26/10/1964
IDA00680,SOUTH ASIA,Afghanistan,Fully Cancelled,0.75,USD,P009299,EDUCATION,3500000,3500000,0,0,0,10/15/1974,15/04/2014,23/11/1964
IDA00690,AFRICA WEST,Mauritania,Fully Repaid,0.75,USD,P001814,ROADS,8082507.03,0,0,8082507.03,8082507.03,06/01/1975,01/12/2014,28/12/1964
IDA00700,AFRICA EAST,Kenya,Repaying,0.75,USD,P001221,HIGHWAYS I,5428549.5,0,0,5428549.5,5428549.5,03/01/1975,01/09/2014,29/12/1964
IDA00710,LATIN AMERICA AND CARIBBEAN,Honduras,Fully Repaid,0.75,USD,P007336,NORTH ROAD PROJECT,4222205.13,0,0,4222205.13,4222205.13,04/01/1975,01/10/2014,02/02/1965
IDA00720,AFRICA WEST,Nigeria,Fully Repaid,0.75,USD,P002006,EDUCATION I,21387905.92,0,0,21387905.92,21387905.92,02/15/1975,15/08/2014,01/03/1965
IDA00730,AFRICA WEST,Nigeria,Fully Repaid,0.75,USD,P002008,NORTHERN ROAD,18658062.89,195179.54,0,18462883.35,18462883.35,02/15/1975,15/08/2014,01/03/1965
IDA00740,AFRICA EAST,Somalia,Fully Repaid,0.75,USD,P002437,ROADS,7479334.87,0,0,7479334.87,7479334.87,06/01/1975,01/12/2014,29/03/1965
IDA00750,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008882,TSKB V (DFC),12053677.13,47329.74,0,12006347.39,12006347.39,05/15/1975,15/11/2014,01/04/1965
IDA00760,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010037,AGRIC DEVT BANK I,32571296.86,0,0,32571296.86,32571296.86,10/01/1975,01/04/2015,30/06/1965
IDA00770,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001222,TEA ROADS,3619033.02,0,0,3619033.02,3619033.02,08/01/1975,01/02/2015,30/06/1965
IDA00780,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009636,INDUS. IMPORTS II,120634432.5,0,0,120634432.5,120634432.5,01/01/1976,01/07/2015,11/08/1965
IDA00790,MIDDLE EAST AND NORTH AFRICA,Morocco,Fully Repaid,0.75,USD,P005353,EDUCATION I,12752937.42,841248.84,0,11911688.58,11911688.58,03/15/1976,15/09/2015,11/10/1965
IDA00800,AFRICA EAST,Tanzania,Fully Repaid,0.75,USD,P002675,AGRICULTURAL CREDIT,6031721.73,0,0,6031721.73,6031721.73,10/01/1975,01/04/2015,13/01/1966
IDA00810,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010039,COMMERCIAL-ROAD VEHI,30158603.4,23.02,0,30158580.38,30158580.38,04/15/1976,15/10/2015,13/01/1966
IDA00820,AFRICA EAST,Lesotho,Fully Repaid,0.75,USD,P001374,ROADS,4946011.73,0,0,4946011.73,4946011.73,01/01/1976,01/07/2015,09/02/1966
IDA00830,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009347,FOODGRAIN STORAGE,19200000,19200000,0,0,0,01/01/1976,01/07/2015,10/02/1966
IDA00840,AFRICA EAST,Ethiopia,Fully Repaid,0.75,USD,P000666,EDUCATION,8667874.95,0,0,8667874.95,8667874.95,05/01/1976,01/11/2015,16/02/1966
IDA00850,AFRICA EAST,Burundi,Fully Repaid,0.75,USD,P000166,WATER SUPPLY,1320544.71,28841.66,0,1291703.05,1291703.05,08/01/1976,01/02/2016,31/03/1966
IDA00860,LATIN AMERICA AND CARIBBEAN,Paraguay,Fully Repaid,0.75,USD,P007852,LIVESTOCK II,9046478.09,5352.25,0,9041125.84,9041125.84,04/01/1976,01/10/2015,04/04/1966
IDA00870,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009349,EDUCATION II,13000000,13000000,0,0,0,10/15/1976,15/04/2016,17/06/1966
IDA00880,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009638,RAILWAYS,82031414.15,0,0,82031414.15,82031414.15,08/15/1976,15/02/2016,29/06/1966
IDA00890,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009637,BEAS POWER EQUIPMENT,26589351.03,267371.16,0,26321979.87,26321979.87,02/01/1977,01/08/2016,29/06/1966
IDA00900,AFRICA EAST,Madagascar,Fully Repaid,0.75,USD,P001467,ROADS,11643096.78,0,0,11643096.78,11643096.78,10/15/1976,15/04/2016,02/08/1966
IDA00910,EUROPE AND CENTRAL ASIA,Turkey,Fully Repaid,0.75,USD,P008884,TSKB VI (DFC),18081618.07,65651.95,0,18015966.12,18015966.12,04/01/1976,01/10/2015,10/08/1966
IDA00920,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009640,INDUS. IMPORTS III,180951648.7,0,0,180951648.7,180951648.7,01/15/1977,15/07/2016,19/08/1966
IDA00930,AFRICA EAST,Kenya,Repaying,0.75,USD,P001224,EDUCATION I,8444410.33,0,0,8444410.33,8444410.33,08/15/1976,15/02/2016,19/08/1966
IDA00940,MIDDLE EAST AND NORTH AFRICA,Tunisia,Fully Repaid,0.75,USD,P005596,EDUCATION II,15026301.29,1488942.03,0,13537359.26,13537359.26,11/15/1976,15/05/2016,16/09/1966
IDA00950,AFRICA WEST,Mali,Fully Repaid,0.75,USD,P001684,RAILWAYS,10752686.97,0,0,10752686.97,10752686.97,01/01/1977,01/07/2016,29/09/1966
IDA00960,AFRICA WEST,Senegal,Fully Repaid,0.75,USD,P002273,RAILWAYS,10623519.34,0,0,10623519.34,10623519.34,02/01/1977,01/08/2016,29/09/1966
IDA00970,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009641,INDUS. IMPORTS IV,78412381.14,0,0,78412381.14,78412381.14,10/15/1977,15/04/2017,23/12/1966
IDA00980,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010041,INDUSTRIAL IMPORTS I,30158608.22,0,0,30158608.22,30158608.22,03/01/1977,01/09/2016,23/12/1966
IDA00990,MIDDLE EAST AND NORTH AFRICA,Tunisia,Fully Repaid,0.75,USD,P005595,COOPERATIVE FARM PROJECT,6564437.1,2900000,0,3664437.1,3664437.1,04/15/1977,15/10/2016,21/02/1967
IDA01000,AFRICA WEST,Cameroon,Fully Repaid,0.75,USD,P000312,CAMDEV PROJECT (AGRI,13258375.04,0,0,13258375.04,13258375.04,07/01/1977,01/01/2017,28/03/1967
IDA01010,AFRICA EAST,Uganda,Fully Repaid,0.75,USD,P002895,EDUCATION I,11879480.31,615206.08,0,11264274.23,11264274.23,09/01/1977,01/03/2017,21/04/1967
IDA01020,AFRICA EAST,Malawi,Fully Repaid,0.75,USD,P001587,EDUCATION I,7434440.13,0,0,7434440.13,7434440.13,04/01/1977,01/10/2016,04/05/1967
IDA01030,MIDDLE EAST AND NORTH AFRICA,Jordan,Fully Repaid,0.75,USD,P005242,AGRICULTURAL CREDIT II,3610164.12,0,0,3610164.12,3610164.12,08/01/1977,01/02/2017,09/05/1967
IDA01040,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001225,AGRICULTURAL ROADS,6387871.45,27883.29,0,6359988.16,6359988.16,09/01/1977,01/03/2017,11/05/1967
IDA01050,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001223,AGRICULTURAL CREDIT,4189709.71,0,0,4189709.71,4189709.71,07/01/1977,01/01/2017,11/05/1967
IDA01060,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010043,LAHORE WATER SUPPLY,2110023.86,3440.45,0,2106583.41,2106583.41,06/01/1977,01/12/2016,12/05/1967
IDA01070,LATIN AMERICA AND CARIBBEAN,Bolivia,Fully Repaid,0.75,USD,P006112,BENI LIVESTOCK DEVT,2410129.11,8116.29,0,2402012.82,2402012.82,05/15/1977,15/11/2016,26/05/1967
IDA01080,AFRICA EAST,Uganda,Fully Repaid,0.75,USD,P002897,ROADS,5916087.94,547580.98,0,5368506.96,5368506.96,10/01/1977,01/04/2017,28/07/1967
IDA01090,AFRICA EAST,Uganda,Fully Repaid,0.75,USD,P002896,TEA GROWERS CORP.,4025707.97,268987.55,0,3756720.42,3756720.42,08/01/1977,01/02/2017,15/09/1967
IDA01100,EAST ASIA AND PACIFIC,"Korea, Republic of",Fully Repaid,0.75,USD,P004040,RAILROADS II,13196577.61,354795.36,0,12841782.25,12841782.25,12/01/1977,01/06/2017,18/12/1967
IDA01110,AFRICA EAST,Ethiopia,Fully Repaid,0.75,USD,P000667,HIGHWAYS IV,8866396.67,0,0,8866396.67,8866396.67,01/15/1978,15/07/2017,15/01/1968
IDA01120,AFRICA EAST,Malawi,Fully Repaid,0.75,USD,P001591,HIGHWAYS,13709293.5,0,0,13709293.5,13709293.5,04/01/1978,01/10/2017,05/02/1968
IDA01130,AFRICA EAST,Malawi,Fully Repaid,0.75,USD,P001590,LILONGWE AGRIC DEVT,7172381.08,0,0,7172381.08,7172381.08,04/01/1978,01/10/2017,05/02/1968
IDA01140,AFRICA EAST,Malawi,Fully Repaid,0.75,USD,P001589,SHIRE VALLEY AGRIC D,4297052.52,0,0,4297052.52,4297052.52,04/01/1978,01/10/2017,05/02/1968
IDA01150,AFRICA EAST,Tanzania,Fully Repaid,0.75,USD,P002677,HIGHWAYS (SUPPLEMENT,3485679.56,440583.73,0,3045095.83,3045095.83,02/01/1978,01/08/2017,21/03/1968
IDA01160,LATIN AMERICA AND CARIBBEAN,Honduras,Fully Repaid,0.75,USD,P007339,RIO LINDO HYDRO POWE,4811728.21,0,0,4811728.21,4811728.21,08/15/1978,15/02/2018,12/06/1968
IDA01170,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010047,AGRIC DEVT BANK II,12063443.34,0,0,12063443.34,12063443.34,05/01/1978,01/11/2017,13/06/1968
IDA01180,AFRICA WEST,Ghana,Fully Repaid,0.75,USD,P000835,POWER DISTRIBUTION,12063443.38,0,0,12063443.38,12063443.38,03/01/1978,01/09/2017,14/06/1968
IDA01190,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001226,KTDA TEA DEVELOPMENT,2124843.85,1979600.05,0,145243.8,145243.8,06/01/1978,01/12/2017,17/06/1968
IDA01200,AFRICA EAST,Kenya,Repaying,0.75,USD,P001227,HIGHWAYS II,12872263.63,0,0,12872263.63,12872263.63,09/01/1978,01/03/2018,17/06/1968
IDA01210,SOUTH ASIA,Sri Lanka,Fully Repaid,0.75,USD,P010048,LIFT IRRIGATION,2199933.6,63725.06,0,2136208.54,2136208.54,07/15/1978,15/01/2018,19/06/1968
IDA01220,AFRICA EAST,Sudan,Repaying,0.75,USD,P002555,EDUCATION,8548765.93,188581.1,0,8360184.83,8360184.83,08/01/1978,01/02/2018,24/06/1968
IDA01230,AFRICA EAST,Somalia,Fully Repaid,0.75,USD,P002438,ROADS (SUPPLEMENTARY,2709544.25,0,0,2709544.25,2709544.25,06/01/1978,01/12/2017,26/06/1968
IDA01240,LATIN AMERICA AND CARIBBEAN,Ecuador,Fully Repaid,0.75,USD,P007039,EDUCATION I,5205939.81,18037.27,0,5187902.54,5187902.54,08/01/1978,01/02/2018,27/06/1968
IDA01250,AFRICA WEST,Chad,Fully Repaid,0.75,USD,P000483,ROAD MAINT & ENGINEE,4546615.56,0,0,4546615.56,4546615.56,12/01/1978,01/06/2018,14/08/1968
IDA01261,AFRICA WEST,Chad,Fully Repaid,0.75,USD,P000482,TEACHER TRNG & AGRIC,1834163.2,0,0,1834163.2,1834163.2,12/01/1978,01/06/2018,29/08/1968
IDA01262,AFRICA WEST,Chad,Fully Repaid,0.75,USD,P000482,TEACHER TRNG & AGRIC,400000,0,0,400000,400000,12/01/1978,01/06/2018,23/08/1973
IDA01270,EAST ASIA AND PACIFIC,Indonesia,Fully Repaid,0.75,USD,P003702,IRRIGATION REHABILIT,5879988.25,12027.72,0,5867960.53,5867960.53,10/01/1978,01/04/2018,06/09/1968
IDA01281,AFRICA WEST,Niger,Fully Repaid,0.75,USD,P001935,ROAD MAINTENANCE,7163030.41,0,0,7163030.41,7163030.41,01/15/1979,15/07/2018,23/09/1968
IDA01282,AFRICA WEST,Niger,Fully Repaid,0.75,USD,P001935,ROAD MAINTENANCE,350000,0,0,350000,350000,01/15/1979,15/07/2018,26/11/1973
IDA01290,AFRICA EAST,Kenya,Fully Repaid,0.75,USD,P001228,LIVESTOCK,3925680.5,0,0,3925680.5,3925680.5,09/01/1978,01/03/2018,26/09/1968
IDA01300,AFRICA EAST,Uganda,Fully Repaid,0.75,USD,P002898,BEEF RANCHING,3498437.3,348477.54,0,3149959.76,3149959.76,09/15/1978,15/03/2018,05/10/1968
IDA01310,AFRICA WEST,Togo,Fully Repaid,0.75,USD,P002827,ROAD MAINTENANCE,4315493.75,0,0,4315493.75,4315493.75,01/15/1979,15/07/2018,10/10/1968
IDA01320,AFRICA EAST,Tanzania,Fully Repaid,0.75,USD,P002678,BEEF RANCH DEVELOPME,1505934.69,0,0,1505934.69,1505934.69,09/01/1978,01/03/2018,31/10/1968
IDA01330,SOUTH ASIA,Sri Lanka,Fully Repaid,0.75,USD,P010051,HIGHWAYS,5028857.67,4275521.43,0,753336.24,753336.24,02/01/1979,01/08/2018,12/11/1968
IDA01340,AFRICA EAST,Madagascar,Fully Repaid,0.75,USD,P001470,ROADS & BRIDGES,5428549.5,0,0,5428549.5,5428549.5,10/15/1978,15/04/2018,12/11/1968
IDA01350,EAST ASIA AND PACIFIC,Indonesia,Fully Repaid,0.75,USD,P003705,TECHNICAL ASSISTANCE,2300310.89,0,0,2300310.89,2300310.89,04/01/1979,01/10/2018,27/12/1968
IDA01360,SOUTH ASIA,Pakistan,Fully Cancelled,0.75,USD,P009353,TECHNICAL ASSISTANCE,2000000,2000000,0,0,0,02/15/1979,15/08/2018,13/01/1969
IDA01370,EAST ASIA AND PACIFIC,Papua New Guinea,Repaying,0.75,USD,P004347,NEW BRITAIN AGRIC DE,1747006.71,40956.22,0,1706050.49,1706050.49,09/01/1979,01/03/2019,21/01/1969
